expression	rel	p-value (log[10])
דרישה גרמני	attr	5.78498354292362
מכשיר חשמל	attr	5.78082515067399
שר בריאות	attr	5.77443812498742
הלך רוח	attr	5.69783336720741
מאמר מערכת	attr	5.69783336720741
עסקן ספורט	attr	5.69783336720741
ערבי שטח	attr	5.69783336720741
דרגה טוראי	attr	5.69783336720414
המלצה ועדה	attr	5.68276295585127
שמירה חוק	attr	5.68023370996883
ייצור חלק	attr	5.66027944119171
נשיא בית	attr	5.65614913932252
כוח צד	attr	5.65311936741494
נוכחות עד	attr	5.63905104732529
גובה פרמיה	attr	5.63905104732436
מועד יציאה	attr	5.63905104732436
כותל בית	attr	5.62188984493966
רוטב ויניגרט	attr	5.61865212116014
רוטב פסטו	attr	5.61865212116014
פירעון חוב	attr	5.61865212115978
אזור תעשייה	attr	5.56477757878269
מזגן אוויר	attr	5.54610145401117
ראש אגף	attr	5.54342382292905
החלטה ממשלה	attr	5.54282079072794
כושר ראייה	attr	5.52760616378673
זכות חבר	attr	5.52536908837238
כינוס ועידה	attr	5.48426640608621
מכירה שליטה	attr	5.48426640608621
ממשלה ימין	attr	5.48426640608621
פסולת עץ	attr	5.47915466438056
"יו""ר מועצה"	attr	5.41871889212107
סימן שאלה	attr	5.40504608197324
איש שכונה	attr	5.4022543516444
נשיא מדינה	attr	5.38725415379528
בן אדם	attr	5.3809822148023
משאל עם	attr	5.35901481065403
ברית מילה	attr	5.35901481065341
מלוא עוצמה	attr	5.33821660051461
לקוח סניף	attr	5.3382166005131
חברה מקור	attr	5.32230070300052
אולם תצוגה	attr	5.30817519459846
הסדר הימור	attr	5.30817519459846
משפחה קנטור	attr	5.30817519459846
שיטה ריפוי	attr	5.30817519459846
תהליך שיקום	attr	5.30817519459846
תושב כפר	attr	5.30817519459846
פה החלטה	attr	5.27108659724213
מנהל חברה	attr	5.27080830140379
משחק מחזור	attr	5.27026985843955
צדקה דרך	attr	5.25350462588405
טענה קיזוז	attr	5.25350462588102
מסע חניכה	attr	5.25350462588102
חבר דירקטוריון	attr	5.23346474273416
חבר ועד	attr	5.23346474273416
הפרש שער	attr	5.22106414802644
פרץ אלימות	attr	5.22106414802644
רשת מסעדה	attr	5.21335610017886
שבוע מזון	attr	5.21335610017599
שוויון זכות	attr	5.21335610017599
תוספת תקן	attr	5.19028897756777
איש קיבוץ	attr	5.18904260053406
איגוד פועל	attr	5.1773750356681
מאמן פועל	attr	5.1773750356681
מתן היתר	attr	5.15944245574923
נעל תינוק	attr	5.15944245574923
הסדר שכר	attr	5.15121668834594
שר תעשייה	attr	5.14930348015867
חוק זר	attr	5.14192203466304
מחיר כותנה	attr	5.14179483974678
משרד בריאות	attr	5.13321117979565
גוף מתנדב	attr	5.11656340856103
אוסף כתב	attr	5.10428987320403
בניין טלוויזיה	attr	5.09118010228559
מימון פרויקט	attr	5.08663929142591
כתב עיתון	attr	5.08231916550254
תנאי עסקה	attr	5.06941050372508
בעל מנייה	attr	5.06407966506681
בעל רשת	attr	5.06407966506681
הפעלה חוק	attr	5.06134494903412
משרד תיירות	attr	5.03847475889211
שיעור קומה	attr	5.03507553552481
איש שמאל	attr	5.00749219512795
מימוש רווח	attr	5.00745810880224
תו תקן	attr	4.99728697463643
פרקליט תובע	attr	4.99174202504272
דף מידע	attr	4.9917420250401
חבר מרכז	attr	4.98447502576026
רחב עולם	attr	4.98274172220988
כתב תביעה	attr	4.96938838186538
תנור חימום	attr	4.94066771596197
הוראה פתיחה	attr	4.94066771596071
ישיבה רעיון	attr	4.94066771596071
חץ שעה	attr	4.94039409033703
חיים אדם	attr	4.93571365094034
קבלה החלטה	attr	4.93493721674861
מענק קרן	attr	4.92631269572278
סל קליטה	attr	4.92631269572278
רמה עמידות	attr	4.92631269572088
מחלקה ניתוח	attr	4.92038618785099
שטח גדה	attr	4.92038618785099
תוספת שכר	attr	4.89035275754825
חוקר משטרה	attr	4.89033953476931
